addr_st,addr_xst,city,state,address,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"E HAMPTON WY","N THESTA ST",Fresno,CA,"E HAMPTON WY and N THESTA ST",36.79227,-119.783706,1,intersection,,"E Hampton Way",,,Fresno,CA,"Fresno County",93726,US,"TIGER/Line® dataset from the US Census Bureau"
"W TERRACE AV","N KNOLL AV",Fresno,CA,"W TERRACE AV and N KNOLL AV",36.772351,-119.859619,0.86,intersection,,"N Knoll Ave",,,Fresno,CA,"Fresno County",93722,US,"TIGER/Line® dataset from the US Census Bureau"
"N MILLBROOK AV","E SHAW AV",Fresno,CA,"N MILLBROOK AV and E SHAW AV",36.812235,-119.760946,0.61,intersection,,"N Millbrook Ave",,,Fresno,CA,"Fresno County",93710,US,"TIGER/Line® dataset from the US Census Bureau"
"N FIGARDEN DR","N VALENTINE AV",Fresno,CA,"N FIGARDEN DR and N VALENTINE AV",36.827098,-119.8537,0.76,intersection,,"N Valentine Ave",,,Fresno,CA,"Fresno County",93711,US,"TIGER/Line® dataset from the US Census Bureau"
"S ELM AV","E CALIFORNIA AV",Fresno,CA,"S ELM AV and E CALIFORNIA AV",36.136555,-120.365631,0.7,intersection,,"California St",,,Coalinga,CA,"Fresno County",93210,US,"TIGER/Line® dataset from the US Census Bureau"
"W CLINTON AV","N PARKWAY DR",Fresno,CA,"W CLINTON AV and N PARKWAY DR",36.771228,-119.838992,0.96,intersection,,"N Parkway Dr",,,Fresno,CA,"Fresno County",93705,US,"TIGER/Line® dataset from the US Census Bureau"
"E IOWA AV","N NINTH ST",Fresno,CA,"E IOWA AV and N NINTH ST",36.744115,-119.758999,1,intersection,,"E Iowa Ave",,,Fresno,CA,"Fresno County",93702,US,"TIGER/Line® dataset from the US Census Bureau"
"W UNIVERSITY AV","N CHANNING WY",Fresno,CA,"W UNIVERSITY AV and N CHANNING WY",36.766612,-119.82431,0.8,intersection,,"N Channing Ave",,,Fresno,CA,"Fresno County",93705,US,"TIGER/Line® dataset from the US Census Bureau"
"B ST","KERN ST",Fresno,CA,"B ST and KERN ST",36.726578,-119.797937,1,intersection,,"B St",,,Fresno,CA,"Fresno County",93706,US,"TIGER/Line® dataset from the US Census Bureau"
"E BYRD AV","S WALDBY AV",Fresno,CA,"E BYRD AV and S WALDBY AV",36.710723,-119.713365,0.9,intersection,,"E Byrd Ave",,,Fresno,CA,"Fresno County",93725,US,"TIGER/Line® dataset from the US Census Bureau"
"N HAYES AV","W DAKOTA AV",Fresno,CA,"N HAYES AV and W DAKOTA AV",36.79243,-119.89852,1,street_center,,"N Hayes Ave",,,Fresno,CA,"Fresno County",93723,US,"TIGER/Line® dataset from the US Census Bureau"
"N SONORA LN","W PROVIDENCE AV",Fresno,CA,"N SONORA LN and W PROVIDENCE AV",36.772365,-119.86539,0.8,intersection,,"N Sonora Ave",,,Fresno,CA,"Fresno County",93722,US,"TIGER/Line® dataset from the US Census Bureau"
"E LAMONA AV","N MILLBROOK AV",Fresno,CA,"E LAMONA AV and N MILLBROOK AV",36.760435,-119.765736,0.77,intersection,,"E Lamona Ave",,,Fresno,CA,"Fresno County",93703,US,"TIGER/Line® dataset from the US Census Bureau"
"S EUNICE AV","E TOWER AV",Fresno,CA,"S EUNICE AV and E TOWER AV",36.714652,-119.795297,0.88,intersection,,"E Tower Ave",,,Fresno,CA,"Fresno County",93706,US,"TIGER/Line® dataset from the US Census Bureau"
"S CALVIN ST","E OLNEY ST",Fresno,CA,"S CALVIN ST and E OLNEY ST",36.681812,-119.73429,0.8,intersection,,"E Olney Ave",,,Fresno,CA,"Fresno County",93725,US,"TIGER/Line® dataset from the US Census Bureau"
"N HAMPSHIRE DR","E RIDGECREST DR",Fresno,CA,"N HAMPSHIRE DR and E RIDGECREST DR",36.893994,-119.766705,0.93,intersection,,"E Ridgecrest Dr",,,Fresno,CA,"Fresno County",93730,US,"TIGER/Line® dataset from the US Census Bureau"
"N ECHO AV","E THOMAS AV",Fresno,CA,"N ECHO AV and E THOMAS AV",36.752175,-119.804055,1,intersection,,"E Thomas Ave",,,Fresno,CA,"Fresno County",93728,US,"TIGER/Line® dataset from the US Census Bureau"
"W SHIELDS AV","N ARTHUR AV",Fresno,CA,"W SHIELDS AV and N ARTHUR AV",36.779378,-119.815342,1,intersection,,"N Arthur Ave",,,Fresno,CA,"Fresno County",93705,US,"TIGER/Line® dataset from the US Census Bureau"
"N FRESNO ST","E MAGILL AV",Fresno,CA,"N FRESNO ST and E MAGILL AV",36.835248,-119.780087,0.88,intersection,,"E Magill Ave",,,Fresno,CA,"Fresno County",93710,US,"TIGER/Line® dataset from the US Census Bureau"
"S CEDAR AV","E KINGS CANYON RD",Fresno,CA,"S CEDAR AV and E KINGS CANYON RD",36.735852,-119.754467,1,intersection,,"E Kings Canyon Rd",,,Fresno,CA,"Fresno County",93702,US,"TIGER/Line® dataset from the US Census Bureau"
"N PARK AV","E FRANKLIN AV",Fresno,CA,"N PARK AV and E FRANKLIN AV",36.748922,-119.796837,1,intersection,,"E Franklin Ave",,,Fresno,CA,"Fresno County",93701,US,"TIGER/Line® dataset from the US Census Bureau"
"N WISHON AV","E PERALTA WY",Fresno,CA,"N WISHON AV and E PERALTA WY",36.76585,-119.801059,1,intersection,,"E Peralta Way",,,Fresno,CA,"Fresno County",93704,US,"TIGER/Line® dataset from the US Census Bureau"
"N LARKSPUR AV","N CHESTNUT AV",Fresno,CA,"N LARKSPUR AV and N CHESTNUT AV",36.873484,-119.740399,0.81,intersection,,"N Chestnut Ave",,,Fresno,CA,"Fresno County",93720,US,"TIGER/Line® dataset from the US Census Bureau"
"E ILLINOIS AV","N FIFTH ST",Fresno,CA,"E ILLINOIS AV and N FIFTH ST",36.745014,-119.765974,1,intersection,,"E Illinois Ave",,,Fresno,CA,"Fresno County",93702,US,"TIGER/Line® dataset from the US Census Bureau"
"E IOWA AV","N EIGHTH ST",Fresno,CA,"E IOWA AV and N EIGHTH ST",36.744112,-119.760818,1,intersection,,"E Iowa Ave",,,Fresno,CA,"Fresno County",93702,US,"TIGER/Line® dataset from the US Census Bureau"
"DEPT 10",NA,Fresno,CA,"DEPT 10 and NA",0,0,0,,"Could not geocode address. Postal code or city required.",,,,,,,,,
"N VAN NESS BL","E FOUNTAIN WY",Fresno,CA,"N VAN NESS BL and E FOUNTAIN WY",36.781255,-119.80354,0.94,intersection,,"E Fountain Way",,,Fresno,CA,"Fresno County",93704,US,"TIGER/Line® dataset from the US Census Bureau"
"S HAZELWOOD BL","S THIRD ST",Fresno,CA,"S HAZELWOOD BL and S THIRD ST",36.729683,-119.769256,1,intersection,,"S 3rd St",,,Fresno,CA,"Fresno County",93702,US,"TIGER/Line® dataset from the US Census Bureau"
"AVE 7","FRWY 99",Fresno,CA,"AVE 7 and FRWY 99",36.851255,-119.94692,0.8,intersection,,"7th Ave",,,Madera,CA,"Madera County",93637,US,"TIGER/Line® dataset from the US Census Bureau"
"N COLLEGE AV","E FRANKLIN AV",Fresno,CA,"N COLLEGE AV and E FRANKLIN AV",36.749013,-119.797613,1,intersection,,"E Franklin Ave",,,Fresno,CA,"Fresno County",93701,US,"TIGER/Line® dataset from the US Census Bureau"
"E SANTA ANA AV","N FIFTH ST",Fresno,CA,"E SANTA ANA AV and N FIFTH ST",36.804805,-119.764725,1,intersection,,"E Santa Ana Ave",,,Fresno,CA,"Fresno County",93726,US,"TIGER/Line® dataset from the US Census Bureau"
"W INDIANAPOLIS AV","N WHEELER AV",Fresno,CA,"W INDIANAPOLIS AV and N WHEELER AV",36.798909,-119.890079,1,intersection,,"N Wheeler Ave",,,Fresno,CA,"Fresno County",93722,US,"TIGER/Line® dataset from the US Census Bureau"
"W OLEANDER AV","S CRYSTAL AV",Fresno,CA,"W OLEANDER AV and S CRYSTAL AV",36.72983,-119.832289,1,intersection,,"S Crystal Ave",,,Fresno,CA,"Fresno County",93706,US,"TIGER/Line® dataset from the US Census Bureau"
"E HOGAN AV","N EDGEWOOD DR",Fresno,CA,"E HOGAN AV and N EDGEWOOD DR",36.8411,-119.801015,0.5,place,,,,,Fresno,CA,"Fresno County",93650,US,"TIGER/Line® dataset from the US Census Bureau"
"E MICHIGAN AV","N WISHON AV",Fresno,CA,"E MICHIGAN AV and N WISHON AV",36.776747,-119.801088,1,intersection,,"E Michigan Ave",,,Fresno,CA,"Fresno County",93704,US,"TIGER/Line® dataset from the US Census Bureau"
"N MARIPOSA ST","E DAYTON AV",Fresno,CA,"N MARIPOSA ST and E DAYTON AV",36.781658,-119.778859,1,street_center,,"N Mariposa St",,,Fresno,CA,"Fresno County",93726,US,"TIGER/Line® dataset from the US Census Bureau"
"W ROBINWOOD LN","N VALENTINE AV",Fresno,CA,"W ROBINWOOD LN and N VALENTINE AV",36.817129,-119.853475,0.72,intersection,,"N Valentine Ave",,,Fresno,CA,"Fresno County",93711,US,"TIGER/Line® dataset from the US Census Bureau"
"W BROWN AV","N HULBERT AV",Fresno,CA,"W BROWN AV and N HULBERT AV",36.774507,-119.834382,1,intersection,,"N Hulbert Ave",,,Fresno,CA,"Fresno County",93705,US,"TIGER/Line® dataset from the US Census Bureau"
"E GETTYSBURG AV","N AUGUSTA ST",Fresno,CA,"E GETTYSBURG AV and N AUGUSTA ST",36.801307,-119.779117,0.95,intersection,,"E Gettysburg Ave",,,Fresno,CA,"Fresno County",93726,US,"TIGER/Line® dataset from the US Census Bureau"
"S ELEVENTH ST","E VENTURA AV",Fresno,CA,"S ELEVENTH ST and E VENTURA AV",36.753755,-119.755775,1,street_center,,"Eleventh St",,,Fresno,CA,"Fresno County",93702,US,"TIGER/Line® dataset from the US Census Bureau"
"S CLOVIS AV","E PARK CIRCLE DR",Fresno,CA,"S CLOVIS AV and E PARK CIRCLE DR",36.731136,-119.699993,1,intersection,,"E Park Circle Dr",,,Fresno,CA,"Fresno County",93727,US,"TIGER/Line® dataset from the US Census Bureau"
"S MAPLE AV","E MONO AV",Fresno,CA,"S MAPLE AV and E MONO AV",36.736829,-119.745473,1,intersection,,"E Mono Ave",,,Fresno,CA,"Fresno County",93702,US,"TIGER/Line® dataset from the US Census Bureau"
"S WELLER ST","E FLORENCE AV",Fresno,CA,"S WELLER ST and E FLORENCE AV",36.717779,-119.798697,0.91,intersection,,"E Florence Ave",,,Fresno,CA,"Fresno County",93706,US,"TIGER/Line® dataset from the US Census Bureau"
"N WOODSON AV","SAN RAMON AV",Fresno,CA,"N WOODSON AV and SAN RAMON AV",36.813403,-119.837193,0.8,intersection,,"N Woodson Ave",,,Fresno,CA,"Fresno County",93711,US,"TIGER/Line® dataset from the US Census Bureau"
"E ILLINOIS AV","N FIRST ST",Fresno,CA,"E ILLINOIS AV and N FIRST ST",36.74501,-119.772473,1,intersection,,"E Illinois Ave",,,Fresno,CA,"Fresno County",93702,US,"TIGER/Line® dataset from the US Census Bureau"
"N MEDICAL CENTER DR WEST",NA,Fresno,CA,"N MEDICAL CENTER DR WEST and NA",36.8411,-119.801015,0.5,place,,,,,Fresno,CA,"Fresno County",93650,US,"TIGER/Line® dataset from the US Census Bureau"
"S CHESTNUT AV","E FILLMORE AV",Fresno,CA,"S CHESTNUT AV and E FILLMORE AV",36.741362,-119.737533,0.88,intersection,,"E Fillmore Ave",,,Fresno,CA,"Fresno County",93702,US,"TIGER/Line® dataset from the US Census Bureau"
"W GARLAND AV","N MARTY AV",Fresno,CA,"W GARLAND AV and N MARTY AV",36.7849,-119.858038,1,intersection,,"N Marty Ave",,,Fresno,CA,"Fresno County",93722,US,"TIGER/Line® dataset from the US Census Bureau"
"E DAYTON AV","N EZIE AV",Fresno,CA,"E DAYTON AV and N EZIE AV",36.782622,-119.686136,1,intersection,,"E Dayton Ave",,,Fresno,CA,"Fresno County",93727,US,"TIGER/Line® dataset from the US Census Bureau"
"N FARRIS AV","W HERNDON AV",Fresno,CA,"N FARRIS AV and W HERNDON AV",36.837363,-119.811778,1,intersection,,"N Farris Ave",,,Fresno,CA,"Fresno County",93650,US,"TIGER/Line® dataset from the US Census Bureau"
"W CAMBRIDGE AV","N TEILMAN AV",Fresno,CA,"W CAMBRIDGE AV and N TEILMAN AV",36.769285,-119.822152,1,intersection,,"N Teilman Ave",,,Fresno,CA,"Fresno County",93705,US,"TIGER/Line® dataset from the US Census Bureau"
"E WASHINGTON AV","N STANFORD AV",Fresno,CA,"E WASHINGTON AV and N STANFORD AV",36.748047,-119.686567,1,intersection,,"E Washington Ave",,,Fresno,CA,"Fresno County",93727,US,"TIGER/Line® dataset from the US Census Bureau"
"E HAMMOND AV","N DOON WY",Fresno,CA,"E HAMMOND AV and N DOON WY",36.758634,-119.786558,1,intersection,,"E Hammond Ave",,,Fresno,CA,"Fresno County",93703,US,"TIGER/Line® dataset from the US Census Bureau"
"N SELLAND AV","W PRINCETON AV",Fresno,CA,"N SELLAND AV and W PRINCETON AV",36.77516,-119.85797,1,intersection,,"N Selland Ave",,,Fresno,CA,"Fresno County",93722,US,"TIGER/Line® dataset from the US Census Bureau"
"N MAPLE AV","E MCKENZIE AV",Fresno,CA,"N MAPLE AV and E MCKENZIE AV",36.746693,-119.745416,0.8,intersection,,"E McKenzie Ave",,,Fresno,CA,"Fresno County",93702,US,"TIGER/Line® dataset from the US Census Bureau"
"N NOTTINGHAM CT","W WELLINGTON LN",Fresno,CA,"N NOTTINGHAM CT and W WELLINGTON LN",36.835419,-119.845604,1,intersection,,"N Nottingham Ct",,,Fresno,CA,"Fresno County",93711,US,"TIGER/Line® dataset from the US Census Bureau"
"S EAST AV","E CHURCH AV",Fresno,CA,"S EAST AV and E CHURCH AV",36.8411,-119.801015,0.5,place,,,,,Fresno,CA,"Fresno County",93650,US,"TIGER/Line® dataset from the US Census Bureau"
"N ELLENDALE AV","W DONNER AV",Fresno,CA,"N ELLENDALE AV and W DONNER AV",36.798963,-119.888087,0.97,intersection,,"N Ellendale Ave",,,Fresno,CA,"Fresno County",93722,US,"TIGER/Line® dataset from the US Census Bureau"
"W SANTA ANA AV","N RUMI AV",Fresno,CA,"W SANTA ANA AV and N RUMI AV",36.804392,-119.908975,1,intersection,,"N Rumi Ave",,,Fresno,CA,"Fresno County",93723,US,"TIGER/Line® dataset from the US Census Bureau"
"E BALCH AV","S CALLISCH ST",Fresno,CA,"E BALCH AV and S CALLISCH ST",36.738211,-119.775689,0.8,intersection,,"E Balch Ave",,,Fresno,CA,"Fresno County",93721,US,"TIGER/Line® dataset from the US Census Bureau"
"W SAN JOAQUIN RIVER","SANTA FE RR",Fresno,CA,"W SAN JOAQUIN RIVER and SANTA FE RR",36.8411,-119.801015,0.5,place,,,,,Fresno,CA,"Fresno County",93650,US,"TIGER/Line® dataset from the US Census Bureau"
"N PIERCE AV","E HARVEY AV",Fresno,CA,"N PIERCE AV and E HARVEY AV",36.754342,-119.72547,0.95,intersection,,"E Harvey Ave",,,Fresno,CA,"Fresno County",93727,US,"TIGER/Line® dataset from the US Census Bureau"
"E WOODWARD AV","S CHANCE AV",Fresno,CA,"E WOODWARD AV and S CHANCE AV",36.723188,-119.751236,1,intersection,,"E Woodward Ave",,,Fresno,CA,"Fresno County",93702,US,"TIGER/Line® dataset from the US Census Bureau"
"W MCKINLEY AV","N PACIFIC AV",Fresno,CA,"W MCKINLEY AV and N PACIFIC AV",36.76294,-119.821033,0.91,intersection,,"N Pacific Ave",,,Fresno,CA,"Fresno County",93728,US,"TIGER/Line® dataset from the US Census Bureau"
"W FLORADORA AV","N MCCAFFREY AV",Fresno,CA,"W FLORADORA AV and N MCCAFFREY AV",36.760864,-119.890756,0.8,intersection,,"N Mc Caffrey Ave",,,Fresno,CA,"Fresno County",93722,US,"TIGER/Line® dataset from the US Census Bureau"
"E TRUMAN AV","S DUKE AV",Fresno,CA,"E TRUMAN AV and S DUKE AV",36.717056,-119.691738,0.78,intersection,,"E Truman",,,Fresno,CA,"Fresno County",93725,US,"TIGER/Line® dataset from the US Census Bureau"
"N WISHON AV","E HOME AV",Fresno,CA,"N WISHON AV and E HOME AV",36.763266,-119.80104,1,intersection,,"E Home Ave",,,Fresno,CA,"Fresno County",93728,US,"TIGER/Line® dataset from the US Census Bureau"
"N ANGUS ST","E WRENWOOD LN",Fresno,CA,"N ANGUS ST and E WRENWOOD LN",36.818058,-119.775901,0.71,intersection,,"E Wrenwood Ave",,,Fresno,CA,"Fresno County",93710,US,"TIGER/Line® dataset from the US Census Bureau"
"E BALCH AV","S TENTH ST",Fresno,CA,"E BALCH AV and S TENTH ST",36.738089,-119.757823,1,intersection,,"E Balch Ave",,,Fresno,CA,"Fresno County",93702,US,"TIGER/Line® dataset from the US Census Bureau"
"N KATY LN","W AUSTIN WY",Fresno,CA,"N KATY LN and W AUSTIN WY",36.794585,-119.874525,0.8,intersection,,"N Katy Ave",,,Fresno,CA,"Fresno County",93722,US,"TIGER/Line® dataset from the US Census Bureau"
"W BARSTOW AV","N LA VENTANA AV",Fresno,CA,"W BARSTOW AV and N LA VENTANA AV",36.815307,-119.851285,1,street_center,,"W Barstow Ave",,,Fresno,CA,"Fresno County",93711,US,"TIGER/Line® dataset from the US Census Bureau"
"S HOLLY AV","E BELGRAVIA AV",Fresno,CA,"S HOLLY AV and E BELGRAVIA AV",36.71598,-119.788506,1,intersection,,"E Belgravia Ave",,,Fresno,CA,"Fresno County",93706,US,"TIGER/Line® dataset from the US Census Bureau"
"N SIXTH ST","E BROWN AV",Fresno,CA,"N SIXTH ST and E BROWN AV",36.774758,-119.767888,0.67,intersection,,"E Brown Ave",,,Fresno,CA,"Fresno County",93703,US,"TIGER/Line® dataset from the US Census Bureau"
"E HOXIE AV","S WHITNEY AV",Fresno,CA,"E HOXIE AV and S WHITNEY AV",36.707366,-119.740626,1,intersection,,"E Hoxie Ave",,,Fresno,CA,"Fresno County",93725,US,"TIGER/Line® dataset from the US Census Bureau"
"E BELMONT AV","N MARIPOSA ST",Fresno,CA,"E BELMONT AV and N MARIPOSA ST",36.750375,-119.779248,1,intersection,,"E Belmont Ave",,,Fresno,CA,"Fresno County",93701,US,"TIGER/Line® dataset from the US Census Bureau"
"W TOBEY AV","W FLORADORA AV",Fresno,CA,"W TOBEY AV and W FLORADORA AV",36.761127,-119.822147,0.97,intersection,,"W Floradora Ave",,,Fresno,CA,"Fresno County",93728,US,"TIGER/Line® dataset from the US Census Bureau"
"N NINTH ST","E MICHIGAN AV",Fresno,CA,"N NINTH ST and E MICHIGAN AV",36.776704,-119.75895,1,intersection,,"E Michigan Ave",,,Fresno,CA,"Fresno County",93703,US,"TIGER/Line® dataset from the US Census Bureau"
"N COLLEGE AV","E VASSAR AV",Fresno,CA,"N COLLEGE AV and E VASSAR AV",36.771332,-119.797312,1,intersection,,"E Vassar Ave",,,Fresno,CA,"Fresno County",93704,US,"TIGER/Line® dataset from the US Census Bureau"
"E LANSING WY","N WISHON AV",Fresno,CA,"E LANSING WY and N WISHON AV",36.787638,-119.802392,1,intersection,,"E Lansing Way",,,Fresno,CA,"Fresno County",93704,US,"TIGER/Line® dataset from the US Census Bureau"
"N FIRST ST","E CORNELL AV",Fresno,CA,"N FIRST ST and E CORNELL AV",36.777726,-119.774798,0.77,intersection,,"E Cornell Ave",,,Fresno,CA,"Fresno County",93703,US,"TIGER/Line® dataset from the US Census Bureau"
"W MCKINLEY AV","N FRUIT AV",Fresno,CA,"W MCKINLEY AV and N FRUIT AV",36.762976,-119.817633,0.91,intersection,,"N Fruit Ave",,,Fresno,CA,"Fresno County",93728,US,"TIGER/Line® dataset from the US Census Bureau"
"N MILLBROOK AV","E GETTYSBURG AV",Fresno,CA,"N MILLBROOK AV and E GETTYSBURG AV",36.801335,-119.763234,1,intersection,,"E Gettysburg Ave",,,Fresno,CA,"Fresno County",93726,US,"TIGER/Line® dataset from the US Census Bureau"
"N BABIGIAN AV","W RICHERT AV",Fresno,CA,"N BABIGIAN AV and W RICHERT AV",36.79746,-119.875449,0.9,intersection,,"N Babigian Ave",,,Fresno,CA,"Fresno County",93722,US,"TIGER/Line® dataset from the US Census Bureau"
"E CORNELL AV","N ANGUS ST",Fresno,CA,"E CORNELL AV and N ANGUS ST",36.777732,-119.777028,1,intersection,,"E Cornell Ave",,,Fresno,CA,"Fresno County",93703,US,"TIGER/Line® dataset from the US Census Bureau"
"N CEDAR AV","E BELLAIRE WY",Fresno,CA,"N CEDAR AV and E BELLAIRE WY",36.791571,-119.755846,0.84,intersection,,"E Bellaire Way",,,Fresno,CA,"Fresno County",93726,US,"TIGER/Line® dataset from the US Census Bureau"
"N ANGUS ST","E NEES AV",Fresno,CA,"N ANGUS ST and E NEES AV",36.851932,-119.779213,0.89,intersection,,"E Nees Ave",,,Fresno,CA,"Fresno County",93720,US,"TIGER/Line® dataset from the US Census Bureau"
"E CORTLAND AV","N PARK AV",Fresno,CA,"E CORTLAND AV and N PARK AV",36.78219,-119.796594,0.8,intersection,,"E Cortland Ave",,,Fresno,CA,"Fresno County",93704,US,"TIGER/Line® dataset from the US Census Bureau"
"N FRESNO ST","E MCKENZIE AV",Fresno,CA,"N FRESNO ST and E MCKENZIE AV",36.746819,-119.781488,0.8,intersection,,"E McKenzie Ave",,,Fresno,CA,"Fresno County",93701,US,"TIGER/Line® dataset from the US Census Bureau"
"E WASHINGTON AV","N FOURTH ST",Fresno,CA,"E WASHINGTON AV and N FOURTH ST",36.747737,-119.767591,1,intersection,,"E Washington Ave",,,Fresno,CA,"Fresno County",93702,US,"TIGER/Line® dataset from the US Census Bureau"
"S CEDAR AV","E LANE AV",Fresno,CA,"S CEDAR AV and E LANE AV",36.732241,-119.754599,1,intersection,,"E Lane Ave",,,Fresno,CA,"Fresno County",93702,US,"TIGER/Line® dataset from the US Census Bureau"
"N VAN NESS AV","E MCKINLEY AV",Fresno,CA,"N VAN NESS AV and E MCKINLEY AV",36.764992,-119.798974,0.8,intersection,,"E McKinley Ave",,,Fresno,CA,"Fresno County",93728,US,"TIGER/Line® dataset from the US Census Bureau"
"E CLAY AV","N NINTH ST",Fresno,CA,"E CLAY AV and N NINTH ST",36.756808,-119.758965,1,intersection,,"E Clay Ave",,,Fresno,CA,"Fresno County",93702,US,"TIGER/Line® dataset from the US Census Bureau"
"W OSLIN AV","N ELLENDALE AV",Fresno,CA,"W OSLIN AV and N ELLENDALE AV",36.762682,-119.888522,1,intersection,,"N Ellendale Ave",,,Fresno,CA,"Fresno County",93722,US,"TIGER/Line® dataset from the US Census Bureau"
"W DAYTON AV","N FRUIT AV",Fresno,CA,"W DAYTON AV and N FRUIT AV",36.782989,-119.817546,1,intersection,,"N Fruit Ave",,,Fresno,CA,"Fresno County",93705,US,"TIGER/Line® dataset from the US Census Bureau"
"N MILLBROOK AV","E FOUNTAIN WY",Fresno,CA,"N MILLBROOK AV and E FOUNTAIN WY",36.781391,-119.763468,1,intersection,,"E Fountain Way",,,Fresno,CA,"Fresno County",93726,US,"TIGER/Line® dataset from the US Census Bureau"
"N FRESNO ST","E MADISON AV",Fresno,CA,"N FRESNO ST and E MADISON AV",36.749555,-119.7815,1,intersection,,"E Madison Ave",,,Fresno,CA,"Fresno County",93701,US,"TIGER/Line® dataset from the US Census Bureau"
"W GARLAND AV","N THORNE AV",Fresno,CA,"W GARLAND AV and N THORNE AV",36.784821,-119.813064,0.8,intersection,,"E Garland Ave",,,Fresno,CA,"Fresno County",93704,US,"TIGER/Line® dataset from the US Census Bureau"
"N THORNE AV","W SPRUCE AV",Fresno,CA,"N THORNE AV and W SPRUCE AV",36.841051,-119.81288,1,intersection,,"N Thorne Ave",,,Fresno,CA,"Fresno County",93650,US,"TIGER/Line® dataset from the US Census Bureau"
"E YALE AV","N COLLEGE AV",Fresno,CA,"E YALE AV and N COLLEGE AV",36.770429,-119.797324,1,intersection,,"E Yale Ave",,,Fresno,CA,"Fresno County",93704,US,"TIGER/Line® dataset from the US Census Bureau"
"S LAVERNE AV","E HAMILTON AV",Fresno,CA,"S LAVERNE AV and E HAMILTON AV",36.725881,-119.676727,0.77,intersection,,"E Hamilton Ave",,,Fresno,CA,"Fresno County",93727,US,"TIGER/Line® dataset from the US Census Bureau"
"W CELESTE AV","N MILBURN AV",Fresno,CA,"W CELESTE AV and N MILBURN AV",36.819006,-119.876373,0.82,intersection,,"N Milburn Ave",,,Fresno,CA,"Fresno County",93722,US,"TIGER/Line® dataset from the US Census Bureau"
"N BABIGIAN AV","W BIRCH AV",Fresno,CA,"N BABIGIAN AV and W BIRCH AV",36.841232,-119.87842,1,intersection,,"N Babigian Ave",,,Fresno,CA,"Fresno County",93722,US,"TIGER/Line® dataset from the US Census Bureau"
"N CLAREMONT AV","E ANDREWS AV",Fresno,CA,"N CLAREMONT AV and E ANDREWS AV",36.780262,-119.690715,1,intersection,,"E Andrews Ave",,,Fresno,CA,"Fresno County",93727,US,"TIGER/Line® dataset from the US Census Bureau"
"E ST","TULARE ST",Fresno,CA,"E ST and TULARE ST",36.729748,-119.795954,1,intersection,,"E St",,,Fresno,CA,"Fresno County",93706,US,"TIGER/Line® dataset from the US Census Bureau"
"S POPPY AV","E CHURCH AV",Fresno,CA,"S POPPY AV and E CHURCH AV",36.714155,-119.789627,0.97,intersection,,"E Church Ave",,,Fresno,CA,"Fresno County",93706,US,"TIGER/Line® dataset from the US Census Bureau"
"N VISTA AV","W BLUFF AV",Fresno,CA,"N VISTA AV and W BLUFF AV",36.849967,-119.894593,0.89,intersection,,"N Vista Ave",,,Fresno,CA,"Fresno County",93722,US,"TIGER/Line® dataset from the US Census Bureau"
"E SARAZEN AV","N EDGEWOOD DR",Fresno,CA,"E SARAZEN AV and N EDGEWOOD DR",36.892895,-119.763136,1,street_center,,"E Sarazen Ave",,,Fresno,CA,"Fresno County",93730,US,"TIGER/Line® dataset from the US Census Bureau"
"E FAIRMONT AV","N FRESNO ST",Fresno,CA,"E FAIRMONT AV and N FRESNO ST",36.543703,-119.388809,0.59,intersection,,"E Fresno St",,,Dinuba,CA,"Tulare County",93618,US,"TIGER/Line® dataset from the US Census Bureau"
"S LEE AV","E LORENA AV",Fresno,CA,"S LEE AV and E LORENA AV",36.719519,-119.801336,1,intersection,,"E Lorena Ave",,,Fresno,CA,"Fresno County",93706,US,"TIGER/Line® dataset from the US Census Bureau"
"E PLATT AV","S CALLISCH ST",Fresno,CA,"E PLATT AV and S CALLISCH ST",36.741836,-119.774401,0.62,intersection,,"E Platt Ave",,,Fresno,CA,"Fresno County",93721,US,"TIGER/Line® dataset from the US Census Bureau"
"N FIRST ST","E HAMMOND AV",Fresno,CA,"N FIRST ST and E HAMMOND AV",36.758601,-119.7725,1,intersection,,"E Hammond Ave",,,Fresno,CA,"Fresno County",93703,US,"TIGER/Line® dataset from the US Census Bureau"
"W DECATUR AV","N ELLENDALE AV",Fresno,CA,"W DECATUR AV and N ELLENDALE AV",36.846232,-119.887345,0.95,intersection,,"N Ellendale Ave",,,Fresno,CA,"Fresno County",93722,US,"TIGER/Line® dataset from the US Census Bureau"
"N ANGUS ST","E HAMMOND AV",Fresno,CA,"N ANGUS ST and E HAMMOND AV",36.75862,-119.777002,1,intersection,,"E Hammond Ave",,,Fresno,CA,"Fresno County",93703,US,"TIGER/Line® dataset from the US Census Bureau"
"N FRESNO ST","E SANTA ANA AV",Fresno,CA,"N FRESNO ST and E SANTA ANA AV",36.804918,-119.779078,0.76,intersection,,"E Santa Ana Ave",,,Fresno,CA,"Fresno County",93726,US,"TIGER/Line® dataset from the US Census Bureau"
"N THORNE AV","W FLORADORA AV",Fresno,CA,"N THORNE AV and W FLORADORA AV",36.761223,-119.81311,0.8,intersection,,"E Floradora Ave",,,Fresno,CA,"Fresno County",93728,US,"TIGER/Line® dataset from the US Census Bureau"
